,Age,Gender,Department,Designation,MonthlySalary,YearsWithCompany,YearsInRole,AppraisalRating,TrainingHours,DoesOvertime,JobSatisfaction,WorkLifeBalance,DistanceFromHome,LeavesTaken,LeftCompany,DistanceGroup,SalaryGroup,TrainingGroup
876,37,Female,Admin,Office Assistant,29888,9,4,5,20,0,3,2,49.6,22,1,30+km,15K-30K,16-20
877,25,Male,HR,HR Executive,112147,6,2,5,35,1,1,3,14.9,20,1,5–15 km,111K-120K,31-35
878,47,Other,HR,HR Executive,80022,7,6,5,15,1,3,1,21.9,24,1,15–30 km,81K-90K,11-15
879,49,Other,HR,HR Executive,23952,3,2,3,30,0,1,3,29.7,1,0,15–30 km,15K-30K,26-30
880,26,Female,Admin,Office Assistant,55743,2,0,2,51,0,1,2,10.3,12,1,5–15 km,51K-60K,51-55
881,45,Other,Accounts,Accounts Officer,52918,3,3,4,9,0,1,2,46.7,29,0,30+km,51K-60K,6-10
882,53,Male,HR,HR Executive,119080,7,7,5,2,1,3,1,13.6,11,1,5–15 km,111K-120K,0-5
883,25,Male,HR,HR Executive,82960,3,3,5,36,0,2,2,17.8,30,0,15–30 km,81K-90K,36-40
884,22,Other,IT,Software Engineer,116127,6,2,4,40,1,4,1,15.2,7,1,15–30 km,111K-120K,36-40
885,57,Female,HR,HR Executive,105139,8,5,1,5,1,4,3,35.4,21,0,30+km,101K-110K,0-5
886,39,Male,HR,HR Executive,59738,8,5,2,16,0,2,3,29.4,15,1,15–30 km,51K-60K,16-20
887,49,Female,IT,Software Engineer,47373,6,5,1,7,0,3,4,45.1,12,1,30+km,41K-50K,6-10
888,38,Female,Admin,Office Assistant,110635,9,8,3,28,0,3,2,19.0,22,0,15–30 km,111K-120K,26-30
889,46,Other,Accounts,Accounts Officer,89111,8,7,3,10,0,2,2,49.3,28,0,30+km,81K-90K,6-10
890,25,Female,Accounts,Accounts Officer,74486,2,2,3,54,1,2,1,48.0,15,0,30+km,71K-80K,51-55
891,50,Female,HR,HR Executive,27897,8,3,3,35,0,4,1,36.3,0,0,30+km,15K-30K,31-35
892,31,Male,Accounts,Accounts Officer,119227,4,0,5,45,0,4,2,9.6,8,0,5–15 km,111K-120K,41-45
893,35,Female,HR,HR Executive,109777,4,3,3,21,1,1,3,2.6,3,0,0–5 km,101K-110K,21-25
894,23,Male,Admin,Office Assistant,15068,5,2,1,10,0,1,4,41.7,1,0,30+km,15K-30K,6-10
895,24,Female,Admin,Office Assistant,88709,1,1,5,0,0,1,2,36.1,1,1,30+km,81K-90K,0-5
896,51,Other,HR,HR Executive,46056,3,0,3,32,1,3,1,38.6,25,1,30+km,41K-50K,31-35
897,50,Female,Admin,Office Assistant,67443,9,5,4,15,0,5,4,48.3,2,0,30+km,61K-70K,11-15
898,28,Male,Admin,Office Assistant,114075,10,9,2,28,1,5,1,11.5,26,1,5–15 km,111K-120K,26-30
899,33,Other,Accounts,Accounts Officer,30573,4,0,1,54,1,3,1,27.0,12,1,15–30 km,31K-40K,51-55
900,38,Female,Sales,Sales Associate,20245,9,3,2,41,0,3,1,15.9,25,1,15–30 km,15K-30K,41-45
901,53,Female,Admin,Office Assistant,79480,5,3,4,17,0,1,2,16.8,25,1,15–30 km,71K-80K,16-20
902,23,Male,HR,HR Executive,22358,5,3,3,51,1,4,4,1.2,18,0,0–5 km,15K-30K,51-55
903,56,Female,Accounts,Accounts Officer,82866,7,2,3,1,1,5,2,8.9,2,1,5–15 km,81K-90K,0-5
904,38,Other,Admin,Office Assistant,117453,3,0,4,52,1,2,4,5.9,14,0,5–15 km,111K-120K,51-55
905,38,Other,IT,Software Engineer,51531,7,7,4,41,1,5,4,25.5,17,0,15–30 km,51K-60K,41-45
906,40,Female,Admin,Office Assistant,57105,9,7,2,17,0,1,3,2.4,23,1,0–5 km,51K-60K,16-20
907,49,Other,Accounts,Accounts Officer,15484,7,3,2,44,1,4,4,38.9,28,0,30+km,15K-30K,41-45
908,48,Other,Admin,Office Assistant,50378,3,2,1,60,1,4,4,10.8,23,0,5–15 km,51K-60K,56-60
909,37,Male,Accounts,Accounts Officer,16492,9,5,1,36,1,5,2,29.7,15,0,15–30 km,15K-30K,36-40
910,59,Female,IT,Software Engineer,24658,9,0,3,50,0,5,1,41.3,19,0,30+km,15K-30K,46-50
911,49,Other,Accounts,Accounts Officer,71610,8,6,2,40,0,3,4,12.9,20,0,5–15 km,71K-80K,36-40
912,30,Male,Sales,Sales Associate,50690,5,0,5,15,0,2,3,13.2,9,0,5–15 km,51K-60K,11-15
913,22,Female,Sales,Sales Associate,86787,6,5,5,8,0,1,2,47.3,23,0,30+km,81K-90K,6-10
914,34,Other,Admin,Office Assistant,38218,2,2,4,22,1,1,3,33.2,4,0,30+km,31K-40K,21-25
915,37,Female,Admin,Office Assistant,15764,3,1,1,42,1,2,1,27.9,22,1,15–30 km,15K-30K,41-45
916,23,Female,Admin,Office Assistant,47318,2,2,3,44,1,1,3,42.1,26,0,30+km,41K-50K,41-45
917,33,Other,Accounts,Accounts Officer,37189,5,5,1,42,1,2,3,27.3,10,1,15–30 km,31K-40K,41-45
918,30,Male,IT,Software Engineer,111450,4,0,4,56,1,5,1,17.6,28,1,15–30 km,111K-120K,56-60
919,33,Male,IT,Software Engineer,84540,10,10,2,43,1,3,4,25.2,17,0,15–30 km,81K-90K,41-45
920,33,Female,Accounts,Accounts Officer,115706,9,5,2,51,0,1,4,49.1,14,1,30+km,111K-120K,51-55
921,25,Other,Sales,Sales Associate,56462,8,2,5,20,1,4,1,13.5,8,1,5–15 km,51K-60K,16-20
922,34,Male,HR,HR Executive,101887,9,0,2,35,1,4,3,7.9,7,0,5–15 km,101K-110K,31-35
923,31,Male,HR,HR Executive,85410,7,4,1,11,0,3,2,46.5,5,0,30+km,81K-90K,11-15
924,53,Male,Accounts,Accounts Officer,57826,6,6,3,48,0,4,2,48.9,4,0,30+km,51K-60K,46-50
925,31,Female,Accounts,Accounts Officer,102242,4,1,2,32,0,3,1,25.6,28,0,15–30 km,101K-110K,31-35
926,29,Male,Admin,Office Assistant,107718,2,1,5,26,0,2,3,47.6,16,0,30+km,101K-110K,26-30
927,31,Male,Admin,Office Assistant,30202,9,0,5,8,0,2,3,33.3,17,0,30+km,31K-40K,6-10
928,37,Other,HR,HR Executive,61408,2,0,2,16,0,3,2,40.8,13,0,30+km,61K-70K,16-20
929,23,Female,IT,Software Engineer,47800,8,4,4,32,0,5,4,34.3,22,0,30+km,41K-50K,31-35
930,43,Female,Sales,Sales Associate,105738,10,3,1,46,1,1,4,37.5,23,1,30+km,101K-110K,46-50
931,24,Male,Admin,Office Assistant,116299,2,0,5,32,0,4,1,32.3,1,0,30+km,111K-120K,31-35
932,32,Other,HR,HR Executive,45219,2,0,1,4,0,5,1,23.3,22,0,15–30 km,41K-50K,0-5
933,51,Male,Sales,Sales Associate,88741,8,7,2,56,1,1,1,20.5,13,0,15–30 km,81K-90K,56-60
934,37,Male,HR,HR Executive,59502,5,3,5,50,0,1,4,23.8,25,0,15–30 km,51K-60K,46-50
935,35,Female,IT,Software Engineer,80080,6,6,3,32,0,5,4,43.4,19,0,30+km,81K-90K,31-35
936,42,Female,IT,Software Engineer,42926,8,2,3,34,1,4,2,11.1,20,1,5–15 km,41K-50K,31-35
937,43,Other,Admin,Office Assistant,23521,8,7,5,18,1,3,4,23.8,10,0,15–30 km,15K-30K,16-20
938,38,Male,Admin,Office Assistant,50308,9,2,2,18,0,2,1,25.8,1,1,15–30 km,51K-60K,16-20
939,28,Female,IT,Software Engineer,73608,9,4,3,32,0,5,3,11.7,20,0,5–15 km,71K-80K,31-35
940,29,Female,Accounts,Accounts Officer,60500,7,7,5,42,0,3,4,3.7,23,0,0–5 km,61K-70K,41-45
941,23,Male,Sales,Sales Associate,60086,8,2,4,8,1,5,2,24.9,18,1,15–30 km,61K-70K,6-10
942,52,Male,IT,Software Engineer,106203,10,2,2,42,0,4,4,9.6,11,0,5–15 km,101K-110K,41-45
943,59,Male,IT,Software Engineer,106217,8,8,5,33,1,4,2,1.4,24,0,0–5 km,101K-110K,31-35
944,23,Female,HR,HR Executive,39735,5,0,4,49,0,5,3,3.6,7,0,0–5 km,31K-40K,46-50
945,47,Female,Sales,Sales Associate,50492,6,5,4,18,0,3,4,38.8,22,0,30+km,51K-60K,16-20
946,23,Other,Admin,Office Assistant,61310,8,2,3,2,1,4,2,25.8,4,1,15–30 km,61K-70K,0-5
947,56,Other,Accounts,Accounts Officer,112618,6,3,5,0,0,3,4,26.8,29,1,15–30 km,111K-120K,0-5
948,43,Other,Accounts,Accounts Officer,100239,7,7,2,0,1,2,3,17.4,2,1,15–30 km,101K-110K,0-5
949,46,Female,Accounts,Accounts Officer,62939,8,2,1,2,0,5,2,43.1,12,0,30+km,61K-70K,0-5
950,28,Other,Accounts,Accounts Officer,51926,1,0,4,19,0,4,2,18.3,21,1,15–30 km,51K-60K,16-20
951,23,Other,Accounts,Accounts Officer,104399,3,0,5,56,0,2,4,37.5,12,0,30+km,101K-110K,56-60
952,51,Male,Admin,Office Assistant,85549,3,3,4,52,0,2,3,12.7,9,1,5–15 km,81K-90K,51-55
953,45,Other,HR,HR Executive,60742,3,2,4,20,0,5,4,4.0,24,0,0–5 km,61K-70K,16-20
954,43,Female,Admin,Office Assistant,89669,4,4,2,18,1,2,3,2.1,24,1,0–5 km,81K-90K,16-20
955,46,Other,Accounts,Accounts Officer,84689,3,1,1,25,0,3,4,43.2,8,0,30+km,81K-90K,21-25
956,32,Other,Accounts,Accounts Officer,20785,3,2,5,22,1,1,3,1.9,17,0,0–5 km,15K-30K,21-25
957,40,Female,Sales,Sales Associate,79918,5,3,3,57,1,1,2,21.8,15,0,15–30 km,71K-80K,56-60
958,42,Male,Sales,Sales Associate,90468,9,0,3,10,1,2,3,43.7,26,0,30+km,91K-100K,6-10
959,51,Other,Admin,Office Assistant,72339,2,2,1,15,0,3,2,24.7,30,0,15–30 km,71K-80K,11-15
960,32,Female,IT,Software Engineer,58465,7,1,5,57,1,1,4,49.3,13,0,30+km,51K-60K,56-60
961,46,Other,Admin,Office Assistant,42923,1,1,1,52,1,3,4,14.7,1,0,5–15 km,41K-50K,51-55
962,23,Other,Admin,Office Assistant,77990,5,3,3,2,0,4,3,46.5,24,0,30+km,71K-80K,0-5
963,23,Female,HR,HR Executive,58342,6,0,1,34,0,3,2,41.0,15,0,30+km,51K-60K,31-35
964,25,Male,Admin,Office Assistant,94752,2,1,3,30,0,3,2,15.4,6,0,15–30 km,91K-100K,26-30
965,56,Other,Admin,Office Assistant,110139,5,2,1,59,1,1,1,40.5,11,1,30+km,111K-120K,56-60
966,36,Other,Accounts,Accounts Officer,44531,3,1,5,6,0,1,2,28.0,12,0,15–30 km,41K-50K,6-10
967,50,Other,HR,HR Executive,50464,3,2,1,38,1,2,2,36.4,3,0,30+km,51K-60K,36-40
968,29,Male,Accounts,Accounts Officer,19128,10,6,1,33,0,3,1,5.2,14,0,5–15 km,15K-30K,31-35
969,46,Female,Admin,Office Assistant,82015,9,7,2,0,0,5,2,8.1,5,0,5–15 km,81K-90K,0-5
970,43,Female,IT,Software Engineer,45708,10,5,1,57,0,4,2,8.7,2,0,5–15 km,41K-50K,56-60
971,30,Female,Sales,Sales Associate,106906,7,7,1,28,1,3,2,30.4,12,0,30+km,101K-110K,26-30
972,35,Female,Admin,Office Assistant,119647,4,2,5,60,0,3,2,25.6,15,0,15–30 km,111K-120K,56-60
973,50,Other,IT,Software Engineer,17074,6,3,2,6,0,3,1,27.2,9,1,15–30 km,15K-30K,6-10
974,54,Other,Accounts,Accounts Officer,26262,8,3,1,33,1,4,3,44.2,8,0,30+km,15K-30K,31-35
975,43,Other,Admin,Office Assistant,109996,9,6,5,46,1,2,3,4.7,14,0,0–5 km,101K-110K,46-50
976,35,Male,IT,Software Engineer,46792,10,1,1,16,0,4,3,30.4,27,0,30+km,41K-50K,16-20
977,55,Other,Accounts,Accounts Officer,22863,3,3,1,29,0,2,4,42.8,9,0,30+km,15K-30K,26-30
978,39,Other,HR,HR Executive,44186,10,10,3,19,0,1,1,33.5,19,1,30+km,41K-50K,16-20
979,52,Female,HR,HR Executive,22631,1,1,4,29,1,4,1,1.7,29,1,0–5 km,15K-30K,26-30
980,40,Other,Sales,Sales Associate,36506,6,5,1,3,0,1,3,15.7,13,1,15–30 km,31K-40K,0-5
981,56,Male,Admin,Office Assistant,64837,8,4,1,13,0,3,2,2.1,28,0,0–5 km,61K-70K,11-15
982,46,Female,Admin,Office Assistant,67688,3,3,1,10,0,2,3,21.5,22,1,15–30 km,61K-70K,6-10
983,25,Male,HR,HR Executive,81310,8,4,5,38,1,1,1,1.6,26,1,0–5 km,81K-90K,36-40
984,59,Female,HR,HR Executive,65648,9,9,3,25,0,5,3,19.7,16,0,15–30 km,61K-70K,21-25
985,34,Male,Sales,Sales Associate,87095,6,0,4,58,0,1,3,40.4,21,0,30+km,81K-90K,56-60
986,28,Other,Admin,Office Assistant,83738,1,0,4,42,1,3,4,10.4,15,0,5–15 km,81K-90K,41-45
987,49,Male,Sales,Sales Associate,74785,4,0,1,32,0,2,3,42.6,23,1,30+km,71K-80K,31-35
988,34,Other,HR,HR Executive,62425,1,0,2,24,0,5,3,48.6,0,1,30+km,61K-70K,21-25
989,54,Male,Sales,Sales Associate,20246,6,6,5,15,1,4,4,40.1,2,0,30+km,15K-30K,11-15
990,48,Male,IT,Software Engineer,119187,5,0,4,20,0,1,1,45.5,20,1,30+km,111K-120K,16-20
991,44,Male,IT,Software Engineer,71791,2,2,1,53,1,2,1,32.4,21,1,30+km,71K-80K,51-55
992,37,Male,IT,Software Engineer,54343,5,0,2,35,1,4,4,7.5,11,0,5–15 km,51K-60K,31-35
993,51,Other,Sales,Sales Associate,114772,6,4,2,1,0,4,4,32.1,20,0,30+km,111K-120K,0-5
994,50,Male,IT,Software Engineer,76999,8,6,1,18,1,1,3,26.2,24,1,15–30 km,71K-80K,16-20
995,51,Female,HR,HR Executive,27693,2,2,2,31,1,2,4,25.2,10,1,15–30 km,15K-30K,31-35
996,26,Female,Sales,Sales Associate,36637,1,0,2,6,0,2,1,36.4,1,1,30+km,31K-40K,6-10
997,23,Female,HR,HR Executive,43473,4,3,3,26,1,1,1,2.0,26,0,0–5 km,41K-50K,26-30
998,29,Female,IT,Software Engineer,33228,2,2,5,14,1,1,1,35.5,4,1,30+km,31K-40K,11-15
999,35,Female,Accounts,Accounts Officer,111288,3,3,3,32,0,1,4,17.5,22,0,15–30 km,111K-120K,31-35
1000,34,Female,Accounts,Accounts Officer,101128,4,1,3,4,1,3,2,26.4,16,1,15–30 km,101K-110K,0-5
1001,24,Other,Admin,Office Assistant,84745,3,2,5,17,0,4,4,19.8,7,0,15–30 km,81K-90K,16-20
1002,32,Female,HR,HR Executive,53273,2,0,5,40,1,5,1,44.5,0,1,30+km,51K-60K,36-40
1003,49,Other,HR,HR Executive,47785,8,6,5,32,0,5,1,22.1,0,0,15–30 km,41K-50K,31-35
1004,53,Other,HR,HR Executive,29778,5,4,1,59,1,4,3,33.6,18,0,30+km,15K-30K,56-60
1005,24,Other,Sales,Sales Associate,94204,4,4,4,36,0,4,3,44.8,28,0,30+km,91K-100K,36-40
1006,60,Other,IT,Software Engineer,100325,1,1,4,47,0,5,2,20.5,11,0,15–30 km,101K-110K,46-50
1007,42,Male,Admin,Office Assistant,107925,6,0,5,0,1,4,2,35.3,21,0,30+km,101K-110K,0-5
1008,40,Male,IT,Software Engineer,55003,3,2,1,7,0,5,1,5.4,30,1,5–15 km,51K-60K,6-10
1009,29,Other,Sales,Sales Associate,63122,4,0,2,18,0,1,2,16.5,19,1,15–30 km,61K-70K,16-20
1010,35,Other,Sales,Sales Associate,45493,8,1,5,10,1,3,3,17.0,25,0,15–30 km,41K-50K,6-10
1011,53,Other,HR,HR Executive,89829,4,4,5,41,1,4,3,13.3,8,0,5–15 km,81K-90K,41-45
1012,27,Other,IT,Software Engineer,29103,5,4,3,27,1,2,1,32.4,23,1,30+km,15K-30K,26-30
1013,44,Male,Admin,Office Assistant,52080,5,3,5,56,0,5,4,26.6,10,0,15–30 km,51K-60K,56-60
1014,53,Male,Admin,Office Assistant,106958,8,2,3,42,0,3,4,21.8,18,0,15–30 km,101K-110K,41-45
1015,51,Male,Sales,Sales Associate,30953,8,4,3,5,1,4,3,32.5,11,1,30+km,31K-40K,0-5
1016,42,Other,Accounts,Accounts Officer,37415,3,3,2,25,1,3,4,2.9,13,1,0–5 km,31K-40K,21-25
1017,34,Other,IT,Software Engineer,97268,5,3,3,35,1,4,1,45.2,1,1,30+km,91K-100K,31-35
1018,45,Male,Sales,Sales Associate,97763,9,6,5,39,1,5,2,5.0,21,0,0–5 km,91K-100K,36-40
1019,43,Male,IT,Software Engineer,110746,1,1,2,32,0,1,2,22.6,29,1,15–30 km,111K-120K,31-35
1020,44,Female,Accounts,Accounts Officer,95896,10,6,5,54,0,1,1,30.4,14,0,30+km,91K-100K,51-55
1021,60,Female,HR,HR Executive,38570,6,2,5,49,0,2,4,36.0,8,0,30+km,31K-40K,46-50
1022,48,Female,HR,HR Executive,76546,5,1,1,25,0,5,3,9.3,7,0,5–15 km,71K-80K,21-25
1023,27,Male,IT,Software Engineer,71572,3,1,2,4,0,4,2,22.0,24,0,15–30 km,71K-80K,0-5
1024,45,Male,Admin,Office Assistant,47245,3,3,5,59,0,1,3,46.6,18,0,30+km,41K-50K,56-60
1025,49,Male,Sales,Sales Associate,37262,3,1,4,23,1,2,2,11.9,17,0,5–15 km,31K-40K,21-25
1026,54,Male,IT,Software Engineer,112598,7,4,3,52,1,3,4,21.4,12,0,15–30 km,111K-120K,51-55
1027,32,Male,HR,HR Executive,34546,9,0,1,47,0,2,3,32.0,23,1,30+km,31K-40K,46-50
1028,59,Female,Sales,Sales Associate,75464,6,4,1,20,1,4,1,16.1,17,1,15–30 km,71K-80K,16-20
1029,58,Female,HR,HR Executive,53498,1,1,4,25,0,3,2,44.3,3,1,30+km,51K-60K,21-25
1030,38,Female,Accounts,Accounts Officer,27859,7,3,3,9,1,1,1,6.6,29,0,5–15 km,15K-30K,6-10
1031,57,Female,IT,Software Engineer,118909,8,6,3,13,1,4,1,22.5,3,1,15–30 km,111K-120K,11-15
1032,56,Other,IT,Software Engineer,88858,2,2,1,40,0,3,2,30.7,20,0,30+km,81K-90K,36-40
1033,46,Male,IT,Software Engineer,32535,10,1,2,29,0,5,1,43.3,6,0,30+km,31K-40K,26-30
1034,44,Other,Admin,Office Assistant,118505,8,3,5,9,1,3,1,10.5,19,1,5–15 km,111K-120K,6-10
1035,30,Female,IT,Software Engineer,48420,10,7,1,51,1,4,3,27.4,29,1,15–30 km,41K-50K,51-55
1036,45,Male,Admin,Office Assistant,95442,8,6,5,33,0,2,1,43.4,11,0,30+km,91K-100K,31-35
1037,44,Female,Accounts,Accounts Officer,102139,3,0,2,44,1,5,2,40.3,24,0,30+km,101K-110K,41-45
1038,26,Male,Sales,Sales Associate,35354,9,5,1,15,0,2,3,34.6,9,1,30+km,31K-40K,11-15
1039,29,Other,HR,HR Executive,109150,8,6,5,5,0,4,1,13.9,17,0,5–15 km,101K-110K,0-5
1040,41,Male,HR,HR Executive,97533,3,1,4,1,0,1,1,30.9,20,0,30+km,91K-100K,0-5
1041,45,Female,Admin,Office Assistant,52428,3,0,1,15,0,4,1,22.1,12,0,15–30 km,51K-60K,11-15
1042,42,Female,HR,HR Executive,115402,4,0,3,44,0,5,4,16.0,2,1,15–30 km,111K-120K,41-45
1043,40,Male,HR,HR Executive,95288,2,2,5,2,0,2,3,40.7,9,1,30+km,91K-100K,0-5
1044,43,Female,Admin,Office Assistant,87373,2,1,1,38,1,3,1,45.6,18,1,30+km,81K-90K,36-40
1045,22,Other,IT,Software Engineer,92533,6,6,1,32,0,4,3,13.7,25,0,5–15 km,91K-100K,31-35
1046,42,Other,HR,HR Executive,45921,4,4,4,60,1,1,2,42.4,14,0,30+km,41K-50K,56-60
1047,59,Female,HR,HR Executive,108226,4,2,1,38,0,1,3,28.7,11,1,15–30 km,101K-110K,36-40
1048,27,Female,Sales,Sales Associate,97747,2,0,5,55,0,2,2,18.8,2,0,15–30 km,91K-100K,51-55
1049,46,Other,Accounts,Accounts Officer,72531,8,4,4,23,1,2,2,12.2,7,0,5–15 km,71K-80K,21-25
1050,38,Male,Accounts,Accounts Officer,98301,10,4,5,33,1,3,3,47.4,17,0,30+km,91K-100K,31-35
1051,33,Female,Admin,Office Assistant,109362,3,2,2,43,0,4,4,48.1,10,1,30+km,101K-110K,41-45
1052,30,Male,HR,HR Executive,108908,10,9,3,4,1,2,1,18.3,28,1,15–30 km,101K-110K,0-5
1053,28,Female,HR,HR Executive,61734,6,5,1,56,0,2,4,11.8,24,1,5–15 km,61K-70K,56-60
1054,33,Other,Accounts,Accounts Officer,58406,4,3,1,16,0,4,2,23.8,19,0,15–30 km,51K-60K,16-20
1055,25,Female,Sales,Sales Associate,42481,3,0,2,42,1,5,4,49.6,25,1,30+km,41K-50K,41-45
1056,41,Male,IT,Software Engineer,88650,6,2,3,36,0,1,1,1.4,28,1,0–5 km,81K-90K,36-40
1057,40,Other,IT,Software Engineer,27972,3,0,4,4,0,2,2,2.1,30,1,0–5 km,15K-30K,0-5
1058,33,Other,IT,Software Engineer,17218,2,1,5,54,0,3,2,10.0,24,0,5–15 km,15K-30K,51-55
1059,47,Female,Sales,Sales Associate,104026,5,4,4,55,1,3,4,28.2,7,0,15–30 km,101K-110K,51-55
1060,35,Male,IT,Software Engineer,90577,2,2,1,6,1,3,3,38.8,20,0,30+km,91K-100K,6-10
1061,57,Female,HR,HR Executive,105003,6,6,5,18,0,2,4,35.5,17,0,30+km,101K-110K,16-20
1062,38,Other,Admin,Office Assistant,33822,5,4,5,15,1,3,2,12.7,14,0,5–15 km,31K-40K,11-15
1063,56,Female,Accounts,Accounts Officer,100984,2,0,2,24,1,4,1,37.1,3,1,30+km,101K-110K,21-25
1064,52,Female,HR,HR Executive,25543,3,0,3,29,1,3,1,32.6,3,1,30+km,15K-30K,26-30
1065,23,Female,Sales,Sales Associate,15530,3,0,3,36,0,1,2,4.7,14,0,0–5 km,15K-30K,36-40
1066,38,Male,Accounts,Accounts Officer,84191,2,1,3,54,0,2,4,20.2,14,0,15–30 km,81K-90K,51-55
1067,54,Female,Admin,Office Assistant,66311,1,0,3,10,0,4,1,46.2,6,0,30+km,61K-70K,6-10
1068,42,Female,Accounts,Accounts Officer,25478,2,0,3,32,1,1,4,40.8,11,0,30+km,15K-30K,31-35
1069,39,Female,HR,HR Executive,67876,5,4,4,12,1,3,2,30.3,22,0,30+km,61K-70K,11-15
1070,37,Male,IT,Software Engineer,94797,6,2,5,11,0,5,1,10.9,15,1,5–15 km,91K-100K,11-15
1071,25,Female,Accounts,Accounts Officer,65123,2,0,3,47,1,4,1,14.1,17,1,5–15 km,61K-70K,46-50
1072,59,Male,Sales,Sales Associate,19892,9,1,4,6,1,4,4,46.9,3,0,30+km,15K-30K,6-10
1073,54,Other,Sales,Sales Associate,29373,3,2,3,22,1,5,4,13.0,6,0,5–15 km,15K-30K,21-25
1074,32,Male,IT,Software Engineer,63498,5,5,3,24,1,1,2,42.2,29,0,30+km,61K-70K,21-25
1075,45,Male,Sales,Sales Associate,91020,5,2,2,53,0,3,3,23.3,10,0,15–30 km,91K-100K,51-55
1076,50,Female,Accounts,Accounts Officer,102653,2,0,1,54,1,4,3,30.5,25,0,30+km,101K-110K,51-55
1077,47,Male,Accounts,Accounts Officer,98565,8,3,4,4,1,5,3,33.6,28,0,30+km,91K-100K,0-5
1078,58,Male,IT,Software Engineer,101036,2,0,1,22,0,5,4,8.7,27,0,5–15 km,101K-110K,21-25
1079,49,Female,Sales,Sales Associate,18902,5,5,3,2,0,3,2,47.8,11,0,30+km,15K-30K,0-5
1080,59,Male,Accounts,Accounts Officer,54716,4,0,3,23,0,3,3,15.2,11,0,15–30 km,51K-60K,21-25
1081,45,Female,Sales,Sales Associate,103263,3,3,5,40,0,4,3,15.2,7,0,15–30 km,101K-110K,36-40
1082,57,Male,IT,Software Engineer,99451,1,1,2,24,1,3,4,20.5,15,1,15–30 km,91K-100K,21-25
1083,35,Female,Accounts,Accounts Officer,56977,3,1,1,6,0,5,3,23.1,12,0,15–30 km,51K-60K,6-10
1084,32,Female,Sales,Sales Associate,108096,3,3,5,35,0,1,1,41.9,5,0,30+km,101K-110K,31-35
1085,41,Male,IT,Software Engineer,36230,9,1,2,41,0,5,2,46.2,0,0,30+km,31K-40K,41-45
1086,35,Female,IT,Software Engineer,33170,8,6,2,28,1,1,1,5.0,13,1,0–5 km,31K-40K,26-30
1087,48,Other,HR,HR Executive,21643,6,1,4,28,1,2,2,24.6,23,0,15–30 km,15K-30K,26-30
1088,28,Female,Admin,Office Assistant,33809,5,2,1,23,0,4,4,8.8,5,0,5–15 km,31K-40K,21-25
1089,44,Other,HR,HR Executive,81473,7,6,2,26,1,5,3,36.4,29,0,30+km,81K-90K,26-30
1090,44,Other,Admin,Office Assistant,102916,5,2,5,21,0,5,2,7.0,3,0,5–15 km,101K-110K,21-25
1091,53,Male,Sales,Sales Associate,90511,3,0,5,34,1,1,2,34.7,23,0,30+km,91K-100K,31-35
1092,32,Other,Accounts,Accounts Officer,71281,9,5,1,10,0,5,2,42.2,0,0,30+km,71K-80K,6-10
1093,23,Male,HR,HR Executive,103978,4,2,1,2,0,5,1,13.4,29,0,5–15 km,101K-110K,0-5
1094,29,Female,Accounts,Accounts Officer,42231,9,3,2,4,0,4,1,6.0,19,0,5–15 km,41K-50K,0-5
1095,52,Other,Admin,Office Assistant,42332,7,6,3,54,1,3,4,32.2,19,0,30+km,41K-50K,51-55
1096,49,Other,HR,HR Executive,59635,2,1,4,17,0,4,1,43.4,20,0,30+km,51K-60K,16-20
1097,30,Female,IT,Software Engineer,73023,1,0,4,10,1,1,2,28.8,19,1,15–30 km,71K-80K,6-10
1098,36,Female,Accounts,Accounts Officer,57092,1,0,5,12,1,1,4,9.4,1,0,5–15 km,51K-60K,11-15
1099,43,Female,HR,HR Executive,73495,9,1,2,14,1,5,2,13.3,18,0,5–15 km,71K-80K,11-15
1100,29,Male,Sales,Sales Associate,23088,8,1,2,1,0,2,3,26.7,5,1,15–30 km,15K-30K,0-5
1101,27,Male,Accounts,Accounts Officer,33761,7,0,3,35,0,2,4,15.2,5,0,15–30 km,31K-40K,31-35
1102,40,Male,Admin,Office Assistant,52918,3,2,2,5,0,2,1,33.3,6,1,30+km,51K-60K,0-5
1103,30,Male,IT,Software Engineer,66478,2,1,5,53,1,1,3,11.6,0,0,5–15 km,61K-70K,51-55
1104,41,Female,Admin,Office Assistant,76101,9,8,2,20,0,2,1,21.6,18,0,15–30 km,71K-80K,16-20
1105,58,Other,HR,HR Executive,45024,8,5,2,58,0,5,4,1.2,22,0,0–5 km,41K-50K,56-60
1106,54,Male,Accounts,Accounts Officer,25620,10,0,4,49,0,4,4,39.1,26,0,30+km,15K-30K,46-50
1107,25,Male,IT,Software Engineer,39344,7,4,5,13,0,5,2,35.5,29,0,30+km,31K-40K,11-15
1108,30,Female,IT,Software Engineer,97018,3,1,2,51,0,4,2,8.5,17,0,5–15 km,91K-100K,51-55
1109,22,Female,IT,Software Engineer,43659,3,2,2,42,1,1,4,35.9,0,0,30+km,41K-50K,41-45
1110,53,Other,Accounts,Accounts Officer,80249,9,5,2,40,0,2,2,11.1,4,1,5–15 km,81K-90K,36-40
1111,60,Other,Accounts,Accounts Officer,92074,4,0,1,25,0,4,1,13.6,20,1,5–15 km,91K-100K,21-25
1112,44,Female,Sales,Sales Associate,19001,3,0,4,18,1,4,4,27.6,15,0,15–30 km,15K-30K,16-20
